RecordCreationDate;KTHB;DiVA-admin;other;admin;Summa;Rel1;Rel2
19-jan;64;0;28;64;92;30%;70%
19-feb;93;2;29;95;124;23%;77%
19-mar;304;1;46;305;351;13%;87%
19-apr;225;0;113;225;338;33%;67%
19-maj;149;0;36;149;185;19%;81%
19-jun;150;0;21;150;171;12%;88%
19-jul;151;0;22;151;173;13%;87%
19-aug;234;1;35;235;270;13%;87%
19-sep;289;3;114;292;406;28%;72%
19-okt;319;0;39;319;358;11%;89%
19-nov;129;0;49;129;178;28%;72%
19-dec;198;0;32;198;230;14%;86%
20-jan;153;0;42;153;195;22%;78%
20-feb;174;0;53;174;227;23%;77%
20-mar;306;0;31;306;337;9%;91%
20-apr;320;0;45;320;365;12%;88%
20-maj;165;0;49;165;214;23%;77%
20-jun;362;0;38;362;400;10%;91%
20-jul;239;0;18;239;257;7%;93%
20-aug;83;0;45;83;128;35%;65%
20-sep;140;0;101;140;241;42%;58%
20-okt;209;0;106;209;315;34%;66%
20-nov;266;3;74;269;343;22%;78%
20-dec;359;0;72;359;431;17%;83%
21-jan;192;0;100;192;292;34%;66%
21-feb;197;0;56;197;253;22%;78%
21-mar;345;0;57;345;402;14%;86%
21-apr;269;1;51;270;321;16%;84%
21-maj;152;3;177;155;332;53%;47%
21-jun;226;2;67;228;295;23%;77%
21-jul;141;0;23;141;164;14%;86%
21-aug;245;0;55;245;300;18%;82%
21-sep;288;0;77;288;365;21%;79%
21-okt;209;2;44;211;255;17%;83%
21-nov;160;31;103;191;294;35%;65%
21-dec;222;0;40;222;262;15%;85%
22-jan;225;0;50;225;275;18%;82%
22-feb;172;0;61;172;233;26%;74%
22-mar;335;0;81;335;416;19%;81%
22-apr;261;0;67;261;328;20%;80%
22-maj;314;0;161;314;475;34%;66%
22-jun;328;2;99;330;429;23%;77%
22-jul;183;0;26;183;209;12%;88%
22-aug;161;0;46;161;207;22%;78%
22-sep;185;0;48;185;233;21%;79%
22-okt;161;0;45;161;206;22%;78%
22-nov;201;0;50;201;251;20%;80%
22-dec;156;0;29;156;185;16%;84%
23-jan;166;0;51;166;217;24%;76%
23-feb;204;0;40;204;244;16%;84%
23-mar;231;0;46;231;277;17%;83%
23-apr;195;0;38;195;233;16%;84%
23-maj;243;0;76;243;319;24%;76%
23-jun;455;0;109;455;564;19%;81%
23-jul;401;0;26;401;427;6%;94%
23-aug;282;0;64;282;346;18%;82%
23-sep;274;0;48;274;322;15%;85%
23-okt;210;0;84;210;294;29%;71%
23-nov;304;0;49;304;353;14%;86%
23-dec;168;0;39;168;207;19%;81%
24-jan;251;0;53;251;304;17%;83%
24-feb;12;0;8;12;20;40%;60%
