RecordCreationDate,KTHB,admin,okänd
2019-01,3,0,7
2019-02,2,1,9
2019-03,1,0,9
2019-04,1,0,40
2019-05,19,0,25
2019-06,22,0,27
2019-07,7,0,18
2019-08,10,0,28
2019-09,55,1,102
2019-10,101,0,42
2019-11,31,0,39
2019-12,28,0,32
2020-01,25,0,18
2020-02,14,0,40
2020-03,87,0,21
2020-04,99,0,20
2020-05,44,0,24
2020-06,140,0,23
2020-07,86,0,15
2020-08,6,0,17
2020-09,43,0,58
2020-10,23,0,84
2020-11,64,3,40
2020-12,56,0,131
2021-01,12,1,29
2021-02,34,0,24
2021-03,161,1,35
2021-04,38,0,26
2021-05,25,0,93
2021-06,35,4,65
2021-07,18,0,11
2021-08,71,1,35
2021-09,147,0,45
2021-10,103,0,30
2021-11,21,5,47
2021-12,41,0,27
2022-01,28,0,18
2022-02,27,0,15
2022-03,70,0,58
2022-04,77,0,18
2022-05,107,0,56
2022-06,157,0,80
2022-07,17,0,12
2022-08,90,0,29
2022-09,103,0,34
2022-10,27,0,42
2022-11,60,0,25
2022-12,42,1,17
2023-01,14,0,19
2023-02,41,0,23
2023-03,53,0,30
2023-04,31,0,32
2023-05,88,0,52
2023-06,198,0,97
2023-07,68,0,17
2023-08,295,0,78
2023-09,94,0,46
2023-10,113,0,47
2023-11,118,0,51
2023-12,106,0,30
2024-01,83,0,16
2024-02,1,0,1
